Source,Target,Year
Kent State University,University Of Toledo,1999
Ohio State University,Ohio University,1999
Ohio State University,University Of Akron,1999
Ohio State University,University Of Cincinnati,1999
Ohio State University,University Of Toledo,1999
Ohio University,University Of Akron,1999
Ohio University,University Of Cincinnati,1999
Ohio University,University Of Toledo,1999
University Of Akron,University Of Cincinnati,1999
University Of Akron,University Of Toledo,1999
University Of Cincinnati,University Of Toledo,1999
Cleveland State University,Kent State University,1999
Cleveland State University,Ohio State University,1999
Cleveland State University,Ohio University,1999
Cleveland State University,University Of Akron,1999
Cleveland State University,University Of Cincinnati,1999
Cleveland State University,University Of Toledo,1999
Kent State University,Ohio State University,1999
Kent State University,Ohio University,1999
Kent State University,University Of Akron,1999
Kent State University,University Of Cincinnati,1999
Kent State University,University Of Toledo,1999
Ohio State University,Ohio University,1999
Ohio State University,University Of Akron,1999
Ohio State University,University Of Cincinnati,1999
Ohio State University,University Of Toledo,1999
Ohio University,University Of Akron,1999
Ohio University,University Of Cincinnati,1999
Ohio University,University Of Toledo,1999
University Of Akron,University Of Cincinnati,1999
University Of Akron,University Of Toledo,1999
University Of Cincinnati,University Of Toledo,1999
Kent State University,Ohio State University,1999
Kent State University,Ohio University,1999
Kent State University,University Of Akron,1999
Kent State University,University Of Cincinnati,1999
Kent State University,University Of Toledo,1999
Ohio State University,Ohio University,1999
Ohio State University,University Of Akron,1999
Ohio State University,University Of Cincinnati,1999
Ohio State University,University Of Toledo,1999
Ohio University,University Of Akron,1999
Ohio University,University Of Cincinnati,1999
Ohio University,University Of Toledo,1999
University Of Akron,University Of Cincinnati,1999
University Of Akron,University Of Toledo,1999
University Of Cincinnati,University Of Toledo,1999
Cleveland State University,Kent State University,1999
Cleveland State University,Ohio University,1999
Cleveland State University,University Of Akron,1999
Cleveland State University,University Of Cincinnati,1999
Cleveland State University,University Of Toledo,1999
Kent State University,Ohio University,1999
Kent State University,University Of Akron,1999
Kent State University,University Of Cincinnati,1999
Kent State University,University Of Toledo,1999
Ohio University,University Of Akron,1999
Ohio University,University Of Cincinnati,1999
Ohio University,University Of Toledo,1999
University Of Akron,University Of Cincinnati,1999
University Of Akron,University Of Toledo,1999
University Of Cincinnati,University Of Toledo,1999
La Salle University,Rochester Institute Of Technology,1999
Lehigh University,Seton Hall University,1999
Linfield College,University Of Southern California,1999
Louisiana State University System,University Of Louisville,1999
Louisiana State University System,University Of Louisville,1999
Louisiana State University System,University Of Louisville,1999
Louisiana State University System,University Of Louisville,1999
Louisiana State University System,University Of Louisville,1999
Louisiana State University System,University Of Louisville,1999
Louisiana State University System,University Of Louisville,1999
Louisiana State University System,University Of Louisville,1999
Louisiana State University System,University Of Louisville,1999
Louisiana State University System,University Of Louisville,1999
Loyola College In Maryland,University Of Notre Dame,1999
Loyola Marymount University,Occidental College,1999
Loyola Marymount University,Saint Josephs University,1999
