Id,Label,Interlock_Count,AffiliationId,Board_Size
Duke University,Duke University,2,170897317,40
Emory University,Emory University,2,150468666,43
Fordham University,Fordham University,4,164389053,37
George Washington University,George Washington University,1,193531525,37
Georgetown University,Georgetown University,2,184565670,34
Harvard University,Harvard University,1,136199984,50
Howard University,Howard University,2,137853757,34
Illinois Institute Of Technology,Illinois Institute Of Technology,1,180949307,33
Johns Hopkins University,Johns Hopkins University,2,145311948,55
Loma Linda University,Loma Linda University,5,26347476,20
Long Island University,Long Island University,1,138873065,38
Loyola University Chicago,Loyola University Chicago,3,1925986,44
Marquette University,Marquette University,1,102461120,30
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,4,63966007,72
Mercer University,Mercer University,2,150149174,46
New Jersey Institute Of Technology,New Jersey Institute Of Technology,1,118118575,53
New School,New School,2,102179633,41
New York University,New York University,2,57206974,85
Pennsylvania State System of Higher Education,Pennsylvania State System of Higher Education,4,29957033,20
Pennsylvania State University,Pennsylvania State University,2,130769515,25
Princeton University,Princeton University,3,20089843,39
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,4,165799507,30
Seton Hall University,Seton Hall University,1,12524447,53
St Johns University,St Johns University,4,142823887,28
State University of New York System,State University of New York System,2,1327163397,15
Syracuse University,Syracuse University,2,70983195,73
Temple University,Temple University,1,84392919,35
Tennessee Board of Regents,Tennessee Board of Regents,4,63920570,18
Texas Christian University,Texas Christian University,1,128956969,48
University Of Chicago,University Of Chicago,4,40347166,51
University Of Notre Dame,University Of Notre Dame,2,107639228,47
University Of Pacific,University Of Pacific,1,119942576,27
University Of Pittsburgh,University Of Pittsburgh,4,170201317,59
University Of San Diego,University Of San Diego,2,160856358,32
University Of South Alabama,University Of South Alabama,2,83809506,16
University Of St Thomas Minnesota,University Of St Thomas Minnesota,5,161515732,49
University System of Georgia,University System of Georgia,2,1289702989,18
University System of New Hampshire,University System of New Hampshire,1,2800453862,26
University of Alabama System,University of Alabama System,2,2800507078,16
University of Massachusetts System,University of Massachusetts System,2,2802841742,25
University of North Carolina System,University of North Carolina System,1,4210158053,33
University of Tennessee System,University of Tennessee System,4,2799495847,26
Vanderbilt University,Vanderbilt University,1,200719446,55
Wake Forest University,Wake Forest University,1,47251452,42
Washington University,Washington University,2,204465549,54
West Virginia University,West Virginia University,2,12097938,17
Andrews University,Andrews University,5,102298084,37
Auburn University,Auburn University,2,82497590,16
Boston University,Boston University,1,111088046,40
Brandeis University,Brandeis University,1,6902469,29
Carnegie Mellon University,Carnegie Mellon University,4,74973139,50
Case Western Reserve University,Case Western Reserve University,1,58956616,42
Catholic University Of America,Catholic University Of America,1,84470341,47
Clark Atlanta University,Clark Atlanta University,1,52064589,30
Dartmouth College,Dartmouth College,1,107672454,28
Drexel University,Drexel University,2,72816309,49
Emory University,Emory University,3,150468666,39
Fordham University,Fordham University,2,164389053,40
Georgetown University,Georgetown University,2,184565670,39
Harvard University,Harvard University,1,136199984,45
Illinois Institute Of Technology,Illinois Institute Of Technology,2,180949307,35
Loma Linda University,Loma Linda University,5,26347476,35
Long Island University,Long Island University,1,138873065,31
Loyola Marymount University,Loyola Marymount University,1,35566140,87
Loyola University Chicago,Loyola University Chicago,3,1925986,31
Marquette University,Marquette University,1,102461120,53
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,2,63966007,76
New Jersey Institute Of Technology,New Jersey Institute Of Technology,2,118118575,57
New York University,New York University,1,57206974,74
