Id,Source,Target,Type,Weight,Year,PersonName_Source,PersonName_Target
e253,Kent State University,University Of Toledo,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e254,Ohio University,University Of Toledo,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e255,University Of Akron,University Of Toledo,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e256,University Of Cincinnati,University Of Toledo,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e257,Cleveland State University,University Of Toledo,Undirected,1,1999,Gerald M. Miller,Gerald M. Miller
e258,Kent State University,University Of Toledo,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e259,Ohio University,University Of Toledo,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e260,University Of Akron,University Of Toledo,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e261,University Of Cincinnati,University Of Toledo,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e262,Cleveland State University,University Of Toledo,Undirected,1,1999,Thomas W. Noe,Thomas W. Noe
e263,Kent State University,University Of Toledo,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e264,Ohio University,University Of Toledo,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e265,University Of Akron,University Of Toledo,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e266,University Of Cincinnati,University Of Toledo,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e267,Cleveland State University,University Of Toledo,Undirected,1,1999,Stephen A. Perry,Stephen A. Perry
e268,Kent State University,University Of Toledo,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
e269,Ohio University,University Of Toledo,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
e270,University Of Akron,University Of Toledo,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
e271,University Of Cincinnati,University Of Toledo,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
e272,Cleveland State University,University Of Toledo,Undirected,1,1999,J. Gilbert Reese,J. Gilbert Reese
