Id,Label,Interlock_Count,AffiliationId,Board_Size
Clark University,Clark University,0,130785548,28
Clarkson University,Clarkson University,1,16944753,29
Clemson University,Clemson University,0,8078737,70
Cleveland State University,Cleveland State University,0,102607778,11
College Of William And Mary,College Of William And Mary,0,16285277,19
Colorado School Of Mines,Colorado School Of Mines,0,167576493,8
Columbia University,Columbia University,2,78577930,56
Cornell University,Cornell University,4,205783295,67
Dartmouth College,Dartmouth College,2,107672454,18
Drexel University,Drexel University,1,72816309,42
Duke University,Duke University,1,170897317,37
Duquesne University,Duquesne University,2,165102784,36
East Carolina University,East Carolina University,0,186335123,14
Eastern Michigan University,Eastern Michigan University,0,138216421,8
Emory University,Emory University,1,150468666,35
Florida Agricultural and Mechanical University,Florida Agricultural and Mechanical University,0,8248082,14
Florida Atlantic University,Florida Atlantic University,0,63772739,11
Florida Institute Of Technology,Florida Institute Of Technology,0,106959904,33
Fordham University,Fordham University,4,164389053,40
George Mason University,George Mason University,0,162714631,18
George Washington University,George Washington University,1,193531525,34
Georgetown University,Georgetown University,4,184565670,47
Georgia Institute of Technology,Georgia Institute of Technology,1,130701444,20
Georgia Southern University,Georgia Southern University,1,39815113,20
Georgia State University,Georgia State University,1,181565077,20
Harvard University,Harvard University,2,136199984,43
Hofstra University,Hofstra University,2,139290212,31
Howard University,Howard University,1,137853757,27
Illinois Institute Of Technology,Illinois Institute Of Technology,1,180949307,61
Illinois State University,Illinois State University,0,47301684,8
Indiana State University,Indiana State University,0,86420138,9
Indiana University of Pennsylvania,Indiana University of Pennsylvania,0,200885203,15
James Madison University,James Madison University,0,11883440,17
Johns Hopkins University,Johns Hopkins University,1,145311948,72
Kennesaw State University,Kennesaw State University,1,172980758,20
Kent State University,Kent State University,2,149910238,10
Lehigh University,Lehigh University,1,186143895,33
Loma Linda University,Loma Linda University,5,26347476,22
Long Island University,Long Island University,0,138873065,86
Louisiana Tech University,Louisiana Tech University,0,919208787,29
Loyola Marymount University,Loyola Marymount University,10,35566140,87
Loyola University Chicago,Loyola University Chicago,5,1925986,68
Marquette University,Marquette University,1,102461120,48
Marshall University,Marshall University,0,88694374,15
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,6,63966007,54
Mercer University,Mercer University,0,150149174,56
Michigan State University,Michigan State University,0,87216513,14
Michigan Technological University,Michigan Technological University,0,11957088,7
Mississippi State University,Mississippi State University,0,99041443,9
Montclair State University,Montclair State University,0,166088655,19
New Jersey Institute Of Technology,New Jersey Institute Of Technology,2,118118575,57
New School,New School,6,102179633,49
New York University,New York University,8,57206974,106
North Carolina Agricultural and Technical State University,North Carolina Agricultural and Technical State University,0,35777872,33
North Carolina State University,North Carolina State University,0,137902535,14
North Dakota State University,North Dakota State University,2,57328836,9
North Dakota University,North Dakota University,2,24571045,18
Northern Illinois University,Northern Illinois University,0,102502594,9
Nova Southeastern University,Nova Southeastern University,0,203088144,27
Oakland University,Oakland University,0,177721651,8
Ohio State University,Ohio State University,0,52357470,11
Ohio University,Ohio University,0,4210106879,16
Old Dominion University,Old Dominion University,0,81365321,17
Pace University,Pace University,0,126863827,27
Pennsylvania State University,Pennsylvania State University,2,130769515,78
Princeton University,Princeton University,4,20089843,41
Purdue University,Purdue University,0,219193219,8
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,1,165799507,30
Rice University,Rice University,0,74775410,27
Rochester Institute Of Technology,Rochester Institute Of Technology,1,155173764,56
Rowan University,Rowan University,0,44265643,19
Rutgers State University Of New Jersey,Rutgers State University Of New Jersey,0,102322142,79
San Diego State University,San Diego State University,40,26538001,27
