Year,Institution,AffiliationId,female_president,PrimarySample,total_members,male,female,unknown,total_ethnicity,white,poc,unknown_eth,board_turnover,male_change,female_change,unknown_change,white_change,poc_change,unknown_eth_change,StateSystem,carnegie_id_x,region,num_billionaires,betweenness,closeness,eigenvector,degree,strength,clustering,carnegie_id_y,year_x,admissions.admission_rate.overall,year_y,student.demographics.age_entry,student.demographics.female_share,student.demographics.married,student.demographics.dependent,student.demographics.avg_family_income,student.students_with_pell_grant,student.demographics.poverty_rate,student.demographics.unemployment,student.demographics.men,student.demographics.women,student.demographics.share_white.home_ZIP,student.demographics.share_black.home_ZIP,student.demographics.share_asian.home_ZIP,student.demographics.share_hispanic.home_ZIP,student.demographics.share_bachelors_degree_age25.home_ZIP,student.demographics.share_professional_degree_age25.home_ZIP,student.demographics.share_born_US.home_ZIP,student.demographics.faculty.women,carnegie_id,state,control
1999,Michigan Technological University,11957088.0,False,True,4,4,0,0,2,2,0,0,0.0,0,0,0,0,0,0,False,171128.0,Midwest,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,171128.0,MI,Public
1999,Montclair State University,166088655.0,True,True,13,7,6,0,11,9,2,0,0.0,0,0,0,0,0,0,False,185590.0,Northeast,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,185590.0,NJ,Public
1999,New Jersey Institute Of Technology,118118575.0,False,True,65,44,3,0,40,22,4,0,0.0,0,0,0,0,0,0,False,185828.0,Northeast,0,0.0137799952482775,0.0560482795412109,3.282252135704409e-60,3.0,0.0283069649878299,0.0,,,,,,,,,,,,,,,,,,,,,,,185828.0,NJ,Public
1999,New School,102179633.0,False,True,52,39,9,4,32,28,4,0,0.0,0,0,0,0,0,0,False,193654.0,Northeast,0,0.002375861249703,0.0459088922875245,1.3044934400875297e-62,2.0,0.0253555967841682,0.0,,,,,,,,,,,,,,,,,,,,,,,193654.0,NY,Private
1999,New York University,57206974.0,False,True,47,39,6,2,31,28,3,0,0.0,0,0,0,0,0,0,False,193900.0,Northeast,4,0.0081967213114754,0.0540583997941857,4.190880141562753e-62,3.0,0.0289241871909575,0.0,,,,,,,,,,,,,,,,,,,,,,,193900.0,NY,Private
1999,New York University,57206974.0,False,True,47,39,6,2,31,28,3,0,0.0,0,0,0,0,0,0,False,193900.0,Northeast,4,0.0,0.0054347826086956,1.9004643751816337e-63,1.0,0.0158730158730158,0.0,,,,,,,,,,,,,,,,,,,,,,,193900.0,NY,Private
1999,North Dakota University System,4210127926.0,False,False,17,8,3,1,13,10,0,0,0.0,0,0,0,0,0,0,False,,Midwest,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Arizona Board of Regents,203172682.0,True,True,12,7,5,0,0,0,0,0,0.0,0,0,0,0,0,0,Arizona Board of Regents,105330.0,West,0,0.0,0.0108695652173913,2.8007077040049112e-05,2.0,1.5833333333333337,0.828251906179905,,,,,,,,,,,,,,,,,,,,,,,105330.0,AZ,Public
1999,Northern Illinois University,102502594.0,False,True,8,7,1,0,6,5,1,0,0.0,0,0,0,0,0,0,False,147703.0,Midwest,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,147703.0,IL,Public
1999,Nova Southeastern University,203088144.0,False,True,31,27,2,2,19,17,2,0,0.0,0,0,0,0,0,0,False,136215.0,South,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,136215.0,FL,Private
1999,Oakland University,177721651.0,False,True,8,7,1,0,4,4,0,0,0.0,0,0,0,0,0,0,False,171571.0,Midwest,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,171571.0,MI,Public
1999,Old Dominion University,81365321.0,False,True,16,9,6,1,6,6,0,0,0.0,0,0,0,0,0,0,False,232982.0,South,0,0.0,0.0054347826086956,8.670816746889561e-63,1.0,0.027027027027027,0.0,,,,,,,,,,,,,,,,,,,,,,,232982.0,VA,Public
1999,Pace University,126863827.0,True,True,35,27,7,1,23,23,0,0,0.0,0,0,0,0,0,0,False,194310.0,Northeast,0,0.0,0.0,2.129019912228421e-64,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,194310.0,NY,Private
1999,Pennsylvania State System Of Higher Education,29957033.0,False,False,31,14,3,0,22,11,0,0,0.0,0,0,0,0,0,0,Pennsylvania State System,,Northeast,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania State University,130769515.0,False,True,39,29,9,1,17,17,0,0,0.0,0,0,0,0,0,0,Pennsylvania State System,495767.0,Northeast,0,0.0,0.0435041407867494,4.9275648216358185e-60,2.0,0.0372099810302057,0.0148013814633186,,,,,,,,,,,,,,,,,,,,,,,495767.0,PA,Public
