Source,Target,Type,Weight,Year
University Of Virginia,Princeton University,Undirected,1,2007
New School University,Princeton University,Undirected,1,2007
New School,Princeton University,Undirected,1,2007
St Johns University,Rensselaer Polytechnic Institute,Undirected,1,2007
Polytechnic University,Rensselaer Polytechnic Institute,Undirected,1,2007
Georgetown University,Rensselaer Polytechnic Institute,Undirected,1,2007
Cornell University,Rochester Institute Of Technology,Undirected,1,2007
Worcester Polytechnic Institute,Rochester Institute Of Technology,Undirected,1,2007
Massachusetts Institute Of Technology,Rockefeller University,Undirected,1,2007
Johns Hopkins University,Rockefeller University,Undirected,1,2007
Brandeis University,Rockefeller University,Undirected,1,2007
Brown University,Rockefeller University,Undirected,1,2007
Massachusetts Institute Of Technology,Rockefeller University,Undirected,1,2007
Cornell University,Rockefeller University,Undirected,1,2007
University Of Pennsylvania,Rockefeller University,Undirected,1,2007
University Of Pennsylvania,Rockefeller University,Undirected,1,2007
Dartmouth College,Rockefeller University,Undirected,1,2007
Brandeis University,Rockefeller University,Undirected,1,2007
Stanford University,Rockefeller University,Undirected,1,2007
Princeton University,Rockefeller University,Undirected,1,2007
Harvard University,Rockefeller University,Undirected,1,2007
Villanova University,Seton Hall University,Undirected,1,2007
University Of South Dakota,South Dakota State University,Undirected,1,2007
University Of South Dakota,South Dakota State University,Undirected,1,2007
University Of South Dakota,South Dakota State University,Undirected,1,2007
University Of South Dakota,South Dakota State University,Undirected,1,2007
University Of South Dakota,South Dakota State University,Undirected,1,2007
University Of South Dakota,South Dakota State University,Undirected,1,2007
Rensselaer Polytechnic Institute,St Johns University,Undirected,1,2007
Rice University,Stanford University,Undirected,1,2007
Harvard University,Stanford University,Undirected,1,2007
Rockefeller University,Stanford University,Undirected,1,2007
Princeton University,Stanford University,Undirected,1,2007
Rice University,Stanford University,Undirected,1,2007
State University Of New York Stony Brook,State University Of New York At Stony Brook,Undirected,1,2007
State University Of New York Stony Brook,State University Of New York At Stony Brook,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee State University,Undirected,1,2007
Tennessee Technological University,Tennessee State University,Undirected,1,2007
East Tennessee State University,Tennessee State University,Undirected,1,2007
Middle Tennessee State University,Tennessee State University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
Middle Tennessee State University,Tennessee Technological University,Undirected,1,2007
University Of Memphis,Tennessee Technological University,Undirected,1,2007
Tennessee State University,Tennessee Technological University,Undirected,1,2007
East Tennessee State University,Tennessee Technological University,Undirected,1,2007
