Source,Target,Type,Weight,Year
Cleveland State University,University Of Akron,Undirected,1,2000
Kent State University,University Of Akron,Undirected,1,2000
Cleveland State University,University Of Akron,Undirected,1,2000
Kent State University,University Of Akron,Undirected,1,2000
Cleveland State University,University Of Akron,Undirected,1,2000
Kent State University,University Of Akron,Undirected,1,2000
Cleveland State University,University Of Akron,Undirected,1,2000
Kent State University,University Of Akron,Undirected,1,2000
Cleveland State University,University Of Akron,Undirected,1,2000
Northern Arizona University,University Of Arizona,Undirected,1,2000
Arizona State University,University Of Arizona,Undirected,1,2000
Northern Arizona University,University Of Arizona,Undirected,1,2000
Arizona State University,University Of Arizona,Undirected,1,2000
Northern Arizona University,University Of Arizona,Undirected,1,2000
Arizona State University,University Of Arizona,Undirected,1,2000
Northern Arizona University,University Of Arizona,Undirected,1,2000
Arizona State University,University Of Arizona,Undirected,1,2000
Northern Arizona University,University Of Arizona,Undirected,1,2000
Arizona State University,University Of Arizona,Undirected,1,2000
Northern Arizona University,University Of Arizona,Undirected,1,2000
Arizona State University,University Of Arizona,Undirected,1,2000
Northern Arizona University,University Of Arizona,Undirected,1,2000
Arizona State University,University Of Arizona,Undirected,1,2000
Northern Arizona University,University Of Arizona,Undirected,1,2000
Arizona State University,University Of Arizona,Undirected,1,2000
Northern Arizona University,University Of Arizona,Undirected,1,2000
Arizona State University,University Of Arizona,Undirected,1,2000
Northern Arizona University,University Of Arizona,Undirected,1,2000
Tufts University,University Of Chicago,Undirected,1,2000
Illinois Institute Of Technology,University Of Chicago,Undirected,1,2000
