Year,Name,Position,Institution,SubInstitution,Education,AffiliationId,carnegie_id,level_0,index,FixedPosition,PrimarySample,StateSystem
2011,"Christine A. ""Chris"" Poon",Trustee,Boston College,Fisher College Of Business,Northwestern 1973 BA; Saint Louis U 1976 MS; Boston U 1982 MBA,103531236.0,164924.0,,,Trustee,True,
2011,"C. A. ""Lance"" Piccolo",Trustee,Boston College,,Boston U 1962 BS,103531236.0,164924.0,,,Trustee,True,
2011,Peter T. Paul,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,Sharon G. Ryan,Trustee,Boston College,,Boston U 1970,103531236.0,164924.0,,,Trustee,True,
2011,Brien M. O'Brien,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,"Brian G. Paulson, S.J",Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,"R. Michael Murray, Jr",Trustee,Boston College,,Boston Col 1984 BA; Columbia 1989 MBA,103531236.0,164924.0,,,Trustee,True,
2011,"Stephen P. ""Steve"" Murray",Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,Cynthia Lee Egan,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,Francis A. Doyle,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
2011,Robert M. Devlin,Trustee,Boston College,,,103531236.0,164924.0,,,Trustee,True,
